date,foreign,institution,individual,pension,trust,close
2021-08-30,-236642.0,252642.0,-57698.0,-9562.0,60716.0,3144.19
2021-08-31,1123334.0,-134653.0,-993842.0,-3393.0,13380.0,3199.27
2021-09-01,74786.0,-31599.0,-103027.0,5492.0,33139.0,3207.02
2021-09-02,549498.0,-1490239.0,941229.0,-1048340.0,-25418.0,3175.85
2021-09-03,584478.0,-76609.0,-469475.0,-80952.0,20239.0,3201.06
2021-09-06,62302.0,45722.0,-96558.0,-261.0,-12327.0,3203.33
2021-09-07,-310486.0,-120260.0,433689.0,26044.0,4953.0,3187.42
2021-09-08,-222943.0,-183108.0,426944.0,-104172.0,-71675.0,3162.99
2021-09-09,-317290.0,-931454.0,1202750.0,-168843.0,158599.0,3114.7
2021-09-10,-517397.0,238309.0,279090.0,-130915.0,50311.0,3125.76
2021-09-13,144483.0,199606.0,-335512.0,-30544.0,42619.0,3127.86
2021-09-14,293900.0,763658.0,-1295114.0,-6916.0,78284.0,3148.83
2021-09-15,293955.0,-140596.0,-184563.0,31426.0,-18717.0,3153.4
2021-09-16,26024.0,-516041.0,459279.0,-16415.0,-72823.0,3130.09
2021-09-17,53095.0,-302020.0,223088.0,-14267.0,141022.0,3140.51
2021-09-23,570903.0,-236143.0,-310610.0,19956.0,-97358.0,3127.58
2021-09-24,83512.0,-341856.0,248302.0,-26700.0,-30187.0,3125.24
2021-09-27,339354.0,8308.0,-341576.0,-8408.0,-16762.0,3133.64
2021-09-28,6023.0,-551626.0,561082.0,-28268.0,14214.0,3097.92
2021-09-29,-659801.0,-312573.0,960416.0,-38252.0,63654.0,3060.27
2021-09-30,39033.0,-217765.0,143547.0,-60578.0,28137.0,3068.82
2021-10-01,-300038.0,-487272.0,760866.0,-27710.0,-35937.0,3019.18
2021-10-05,-623163.0,236194.0,352955.0,-36023.0,16757.0,2962.17
2021-10-06,-276049.0,83440.0,171847.0,-38165.0,42401.0,2908.31
2021-10-07,-107052.0,614307.0,-531658.0,-19875.0,61558.0,2959.46
2021-10-08,-46315.0,-452737.0,461717.0,-87271.0,38772.0,2956.3
2021-10-12,-820585.0,-199931.0,979335.0,48741.0,-1468.0,2916.38
2021-10-13,-271067.0,772426.0,-533217.0,78569.0,82521.0,2944.41
2021-10-14,-384898.0,503699.0,-115075.0,3858.0,89976.0,2988.64
2021-10-15,86275.0,213390.0,-300311.0,33745.0,33015.0,3015.06
2021-10-18,39260.0,-488527.0,424101.0,-34006.0,-24635.0,3006.68
2021-10-19,145533.0,183802.0,-327600.0,-126029.0,-16020.0,3029.04
2021-10-20,-68944.0,-211412.0,283253.0,-101425.0,-54094.0,3013.13
2021-10-21,52857.0,118115.0,-159798.0,-29574.0,-6691.0,3007.33
