date,open,high,low,close,volume
2024-08-29,144.52,145.55,144.21,145.38,0
2024-08-30,145.34,145.74,144.65,145.59,0
2024-08-31,145.6,146.25,145.55,146.16,0
2024-09-02,146.09,147.17,145.77,146.96,0
2024-09-03,146.95,147.2,145.09,145.59,0
2024-09-04,145.6,145.92,143.99,144.1,0
2024-09-05,144.06,144.41,142.84,143.93,0
2024-09-06,143.89,144.06,141.98,142.41,0
2024-09-07,142.04,142.75,141.9,142.32,0
2024-09-09,142.36,143.79,141.95,142.75,0
2024-09-10,142.73,143.71,142.52,142.7,0
2024-09-11,142.68,142.72,140.7,141.4,0
2024-09-12,141.44,143.04,141.39,142.53,0
2024-09-13,142.46,142.65,140.28,140.65,0
2024-09-14,140.64,141.0,140.33,140.84,0
2024-09-16,140.81,140.9,139.57,140.43,0
2024-09-17,140.44,141.9,140.31,141.67,0
2024-09-18,141.67,142.46,141.22,142.01,0
2024-09-19,142.0,143.94,140.44,142.9,0
2024-09-20,142.86,144.46,141.73,144.43,0
2024-09-21,144.43,144.49,143.64,143.81,0
2024-09-23,143.88,144.45,143.16,143.74,0
2024-09-24,143.72,144.67,143.24,143.66,0
2024-09-25,143.68,144.45,142.89,144.36,0
2024-09-26,144.35,145.21,144.1,144.81,0
2024-09-27,144.74,146.49,142.38,142.89,0
2024-09-28,142.87,143.08,142.06,142.15,0
2024-09-30,142.27,143.19,141.64,143.02,0
2024-10-01,143.0,144.53,142.93,143.6,0
2024-10-02,143.63,146.26,143.27,146.18,0
2024-10-03,146.11,147.24,145.9,146.78,0
2024-10-04,146.73,148.8,145.91,148.5,0
2024-10-05,148.46,149.0,148.42,148.71,0
2024-10-07,148.71,149.12,147.84,148.23,0
2024-10-08,148.2,148.35,147.34,148.32,0
2024-10-09,148.31,149.17,148.0,149.14,0
2024-10-10,149.13,149.58,148.27,148.72,0
2024-10-11,148.64,149.28,148.4,149.25,0
2024-10-12,149.25,149.26,148.95,149.14,0
2024-10-14,149.07,149.97,149.07,149.86,0
2024-10-15,149.82,149.98,148.84,149.18,0
2024-10-16,149.23,149.74,148.85,149.64,0
2024-10-17,149.6,150.08,149.23,150.01,0
2024-10-18,150.04,150.31,149.58,149.59,0
2024-10-19,149.6,149.65,149.36,149.54,0
2024-10-21,149.55,150.27,149.08,150.22,0
2024-10-22,150.26,151.1,150.18,150.97,0
2024-10-23,150.97,153.18,150.89,153.01,0
2024-10-24,153.02,153.04,151.76,151.9,0
2024-10-25,151.92,152.16,151.44,152.02,0
2024-10-26,152.02,152.37,151.92,152.28,0
2024-10-28,153.17,153.87,152.4,152.93,0
2024-10-29,152.97,153.86,152.75,153.35,0
2024-10-30,153.41,153.74,152.77,153.28,0
2024-10-31,153.29,153.61,151.91,152.52,0
2024-11-01,152.63,152.95,151.78,152.9,0
2024-11-02,152.95,153.1,152.8,153.02,0
2024-11-04,152.15,152.52,151.53,151.82,0
2024-11-05,151.84,152.57,151.69,151.87,0
2024-11-06,152.05,154.47,151.28,154.25,0
2024-11-07,154.11,154.71,153.08,153.22,0
2024-11-08,153.24,153.47,152.13,152.7,0
2024-11-09,152.76,152.81,152.37,152.62,0
2024-11-11,152.68,153.95,152.66,153.85,0
2024-12-05,150.61,150.77,149.65,150.44,0
2024-12-06,150.44,150.69,149.35,149.69,0
2024-12-07,149.79,150.13,149.63,150.0,0
2024-12-09,149.84,150.95,149.68,150.92,0
2024-12-10,150.94,151.83,150.89,151.74,0
2024-12-11,151.77,152.85,151.0,152.12,0
2024-12-12,152.09,152.77,151.79,152.21,0
2024-12-13,152.23,153.66,152.03,153.58,0
2024-12-14,153.6,153.8,153.45,153.69,0
2024-12-16,153.64,154.36,153.32,154.29,0
2024-12-17,154.24,154.47,153.55,153.61,0
2024-12-18,153.49,154.02,153.15,153.75,0
2024-12-19,153.74,157.39,153.67,157.21,0
2024-12-20,157.21,157.92,156.31,156.57,0
2024-12-21,156.58,156.77,155.94,156.4,0
2024-12-23,156.38,157.27,156.33,157.17,0
2024-12-24,157.15,157.39,156.88,157.27,0
2024-12-25,157.27,160.48,154.71,155.66,0
2024-12-26,155.66,157.94,155.66,157.92,0
2024-12-27,157.94,158.09,157.5,157.81,0
2024-12-28,157.76,158.0,157.35,157.83,0
2024-12-30,157.76,158.07,157.06,157.1,0
2024-12-31,157.05,157.35,156.01,156.75,0
2025-01-02,157.19,157.78,156.43,157.06,0
2025-01-03,157.07,157.84,156.78,157.12,0
2025-01-04,157.26,157.49,156.86,157.29,0
2025-01-06,157.19,157.96,156.23,157.29,0
2025-01-07,157.37,158.41,157.33,157.78,0
2025-01-08,158.2,158.54,157.58,158.35,0
2025-01-09,158.32,158.52,157.57,157.79,0
2025-01-10,157.83,158.88,157.61,157.96,0
2025-01-11,158.08,158.16,157.22,157.66,0
2025-01-13,157.83,157.96,156.9,157.37,0
2025-01-14,157.31,158.15,157.05,157.78,0
2025-01-15,157.82,158.21,155.93,156.33,0
2025-01-16,156.39,156.73,155.2,156.13,0
2025-01-17,156.09,156.2,154.97,156.0,0
2025-01-18,156.0,156.37,155.77,156.29,0
2025-01-20,156.25,156.58,155.41,155.57,0
2025-01-21,155.61,156.24,154.76,155.6,0
2025-01-22,155.48,156.18,155.24,156.15,0
