date,open,high,low,close,volume
2024-08-05,1359.0,1375.1,1355.0,1370.0,0
2024-08-06,1370.0,1380.0,1367.3,1377.7,0
2024-08-07,1375.9,1379.3,1373.6,1373.6,0
2024-08-08,1376.0,1379.7,1374.7,1377.2,0
2024-08-09,1374.3,1377.2,1361.3,1364.4,0
2024-08-12,1365.5,1372.8,1363.4,1369.6,0
2024-08-13,1371.4,1372.5,1366.5,1366.5,0
2024-08-14,1363.0,1364.8,1353.7,1358.0,0
2024-08-16,1365.0,1365.1,1351.3,1351.3,0
2024-08-19,1350.9,1351.0,1329.8,1334.8,0
2024-08-20,1331.8,1336.3,1325.2,1332.5,0
2024-08-21,1330.0,1339.8,1327.1,1334.8,0
2024-08-22,1333.6,1343.6,1332.2,1343.5,0
2024-08-23,1341.3,1343.3,1325.0,1328.0,0
2024-08-26,1325.0,1329.8,1319.4,1329.8,0
2024-08-27,1328.0,1335.0,1328.0,1331.0,0
2024-08-28,1328.5,1339.7,1328.5,1337.0,0
2024-08-29,1338.0,1339.0,1328.2,1332.5,0
2024-08-30,1333.0,1337.5,1332.4,1337.5,0
2024-09-02,1337.5,1341.2,1336.4,1338.5,0
2024-09-03,1338.0,1346.0,1337.5,1345.4,0
2024-09-04,1343.2,1343.8,1333.5,1336.0,0
2024-09-05,1335.5,1338.1,1331.8,1333.5,0
2024-09-06,1334.2,1339.9,1325.5,1339.9,0
2024-09-09,1337.0,1348.0,1336.9,1341.0,0
2024-09-10,1342.1,1345.6,1340.6,1344.2,0
2024-09-11,1344.0,1344.7,1336.9,1341.5,0
2024-09-12,1340.5,1342.5,1338.0,1341.6,0
2024-09-13,1336.9,1336.9,1325.0,1329.6,0
2024-09-19,1329.0,1336.7,1325.7,1329.2,0
2024-09-20,1327.6,1337.1,1327.0,1333.0,0
2024-09-23,1333.0,1340.0,1332.8,1334.8,0
2024-09-24,1333.6,1337.1,1330.0,1330.4,0
2024-09-25,1325.0,1336.1,1324.2,1336.1,0
2024-09-26,1336.0,1336.8,1318.0,1318.0,0
2024-09-27,1317.7,1322.5,1307.0,1310.1,0
2024-09-30,1310.9,1316.8,1303.4,1316.8,0
2024-10-02,1323.8,1324.0,1317.1,1323.0,0
2024-10-04,1332.5,1350.0,1331.3,1349.3,0
2024-10-07,1346.3,1349.7,1343.5,1344.5,0
2024-10-08,1346.8,1351.0,1344.6,1346.0,0
2024-10-10,1349.0,1355.2,1347.5,1355.2,0
2024-10-11,1351.0,1352.0,1345.4,1351.3,0
2024-10-14,1352.0,1360.6,1350.3,1358.6,0
2024-10-15,1357.0,1366.3,1355.9,1366.3,0
2024-10-16,1364.5,1367.2,1360.4,1364.5,0
2024-10-17,1364.5,1373.3,1363.7,1372.7,0
2024-10-18,1371.5,1373.0,1368.4,1369.3,0
2024-10-21,1369.6,1380.2,1366.4,1378.8,0
2024-10-22,1379.1,1382.8,1377.4,1379.6,0
2024-10-23,1380.3,1385.6,1380.1,1381.6,0
2024-10-24,1382.0,1382.3,1377.9,1382.3,0
2024-10-25,1379.8,1392.2,1378.5,1389.2,0
2024-10-28,1390.5,1391.5,1383.3,1385.7,0
2024-10-29,1383.0,1391.5,1378.6,1382.2,0
2024-10-30,1385.0,1388.0,1374.5,1379.8,0
2024-10-31,1381.0,1382.0,1375.0,1377.0,0
2024-11-01,1375.5,1380.5,1374.0,1378.3,0
2024-11-04,1377.0,1377.4,1368.6,1374.5,0
2024-11-05,1375.2,1380.5,1374.2,1379.3,0
2024-11-06,1374.0,1404.2,1374.0,1399.3,0
2024-11-07,1401.1,1404.5,1382.1,1386.0,0
2024-11-08,1386.0,1399.1,1382.4,1397.0,0
2024-11-11,1396.0,1402.8,1392.5,1401.0,0
2024-11-12,1399.1,1409.9,1398.6,1409.9,0
2024-11-13,1410.0,1410.6,1395.0,1397.5,0
2024-11-14,1403.6,1411.1,1399.5,1402.5,0
2024-11-15,1408.0,1408.8,1393.5,1399.5,0
2024-11-18,1396.0,1400.3,1387.8,1393.5,0
2024-11-19,1393.7,1397.0,1389.2,1393.0,0
2024-11-20,1391.0,1400.9,1388.8,1400.9,0
2024-11-21,1399.0,1402.0,1395.5,1402.0,0
2024-11-22,1401.0,1407.5,1399.0,1406.4,0
2024-11-25,1399.6,1404.0,1395.5,1399.0,0
2024-11-26,1405.0,1407.5,1393.0,1396.1,0
2024-11-27,1399.0,1399.0,1391.6,1392.8,0
2024-11-28,1391.0,1397.5,1391.0,1394.5,0
2024-11-29,1394.4,1398.5,1390.2,1396.5,0
2024-12-02,1396.0,1406.4,1396.0,1401.7,0
2024-12-03,1405.5,1442.0,1400.5,1425.0,0
2024-12-04,1418.1,1418.8,1406.1,1413.6,0
2024-12-05,1412.4,1419.2,1412.0,1417.3,0
2024-12-06,1416.0,1429.2,1414.7,1423.0,0
2024-12-09,1426.0,1438.3,1426.0,1435.0,0
2024-12-10,1430.9,1433.7,1426.0,1432.8,0
2024-12-11,1434.0,1436.9,1428.5,1430.9,0
2024-12-12,1429.1,1434.8,1428.0,1430.5,0
2024-12-13,1432.0,1436.8,1431.0,1435.2,0
2024-12-16,1431.0,1439.0,1428.0,1436.0,0
2024-12-17,1437.0,1439.8,1434.2,1437.1,0
2024-12-18,1439.0,1439.1,1435.0,1439.1,0
2024-12-19,1453.0,1453.1,1444.0,1447.3,0
2024-12-20,1450.0,1452.3,1443.3,1448.5,0
2024-12-23,1446.0,1454.9,1445.4,1450.9,0
2024-12-24,1451.5,1460.3,1451.4,1457.5,0
2024-12-26,1455.2,1470.0,1455.2,1469.6,0
2024-12-27,1467.5,1486.7,1465.5,1470.5,0
2024-12-30,1475.0,1475.0,1465.5,1472.3,0
2025-01-02,1473.0,1474.0,1463.9,1469.1,0
2025-01-03,1469.0,1472.9,1464.6,1469.7,0
2025-01-06,1470.0,1475.0,1456.3,1460.0,0
2025-01-07,1460.3,1465.3,1444.5,1453.0,0
2025-01-08,1455.0,1464.5,1444.5,1459.6,0
2025-01-09,1458.6,1465.2,1455.0,1460.0,0
2025-01-10,1461.0,1475.5,1456.8,1472.0,0
2025-01-13,1473.2,1474.3,1466.3,1467.5,0
2025-01-14,1465.0,1466.9,1458.5,1462.0,0
2025-01-15,1460.0,1463.3,1453.5,1454.7,0
2025-01-16,1455.0,1459.8,1449.6,1457.5,0
2025-01-17,1457.9,1460.3,1453.1,1458.5,0
2025-01-20,1460.0,1461.0,1439.0,1440.0,0
2025-01-21,1437.0,1443.9,1432.9,1435.5,0
2025-01-22,1435.0,1439.1,1430.0,1436.2,0
2025-01-23,1437.0,1441.2,1434.0,1434.0,0
2025-01-24,1439.5,1439.5,1426.2,1431.4,0
2025-01-31,1446.0,1456.4,1445.1,1453.5,0
2025-02-03,1466.0,1472.5,1462.0,1462.0,0
2025-02-04,1459.0,1466.4,1449.4,1451.5,0
2025-02-05,1453.5,1456.0,1442.7,1443.9,0
2025-02-06,1445.5,1451.9,1444.1,1447.5,0
2025-02-07,1445.5,1457.5,1443.5,1454.0,0
2025-02-10,1457.5,1458.0,1449.8,1451.3,0
2025-02-11,1452.5,1455.8,1451.8,1452.2,0
2025-02-12,1452.5,1459.0,1449.2,1456.0,0
2025-02-13,1452.1,1455.0,1446.6,1446.6,0
2025-02-14,1441.5,1445.4,1437.4,1441.9,0
2025-02-17,1441.0,1445.1,1439.3,1442.0,0
2025-02-18,1442.0,1445.8,1439.1,1439.5,0
2025-02-19,1442.0,1444.3,1437.8,1441.4,0
2025-02-20,1441.6,1442.4,1434.6,1436.0,0
2025-02-21,1433.3,1436.7,1431.4,1433.8,0
2025-02-24,1437.0,1437.5,1424.0,1430.5,0
2025-02-25,1431.0,1435.3,1428.6,1434.4,0
2025-02-26,1431.2,1437.0,1429.1,1433.8,0
2025-02-27,1436.8,1448.8,1434.4,1445.3,0
2025-02-28,1451.0,1463.9,1450.1,1460.0,0
2025-03-04,1461.0,1462.4,1454.1,1460.3,0
2025-03-05,1454.0,1460.5,1443.0,1450.0,0
2025-03-06,1445.0,1451.0,1437.8,1445.8,0
2025-03-07,1447.8,1449.8,1441.0,1449.5,0
2025-03-10,1448.0,1457.8,1445.2,1455.5,0
2025-03-11,1459.1,1460.5,1451.5,1455.0,0
2025-03-12,1453.0,1455.4,1447.0,1452.6,0
2025-03-13,1450.5,1457.7,1449.2,1457.0,0
2025-03-14,1454.0,1456.9,1452.5,1453.0,0
2025-03-17,1452.0,1452.0,1444.5,1445.1,0
2025-03-18,1443.2,1455.4,1438.0,1451.1,0
2025-03-19,1450.4,1463.0,1449.5,1463.0,0
2025-03-20,1458.0,1470.5,1456.1,1466.7,0
2025-03-21,1466.5,1469.5,1460.5,1467.0,0
2025-03-24,1463.0,1469.7,1462.0,1469.7,0
2025-03-25,1467.6,1471.1,1463.5,1463.5,0
2025-03-26,1467.0,1468.0,1462.2,1467.3,0
2025-03-27,1469.0,1471.5,1463.5,1464.7,0
2025-03-28,1466.0,1470.0,1464.5,1469.9,0
2025-03-31,1470.6,1477.0,1468.4,1473.7,0
2025-04-01,1473.0,1476.7,1467.0,1471.6,0
2025-04-02,1471.5,1473.4,1461.3,1462.5,0
2025-04-03,1471.0,1472.5,1450.5,1453.5,0
2025-04-04,1450.5,1462.5,1430.2,1461.0,0
2025-04-07,1462.0,1472.0,1458.9,1472.0,0
2025-04-08,1471.0,1482.3,1466.3,1479.0,0
2025-04-09,1484.0,1487.6,1472.0,1472.0,0
